"X","ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6"
141,141,240000,"male","graduate","single",47,0,0,0,0,0,0,0,0,0,0,0,0,1,"1_month_delay","no_util","no_util","no_util","no_util","no_util"
142,142,180000,NA,"university","single",28,NA,0,832,332,416,416,0,416,332,500,3500,832,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
143,NA,50000,"male","university","single",23,10131,10833,20583,19996,19879,18065,1000,10000,400,NA,800,600,0,"1_month_delay","2_month_delay","2_month_delay","2_month_delay","use_revolv_credit",NA
144,144,170000,NA,"university","single",29,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,0,"no_util","no_util","no_util","no_util","no_util","no_util"
145,145,20000,"male","graduate","single",29,1199,NA,344,2340,6702,NA,15586,344,2340,4702,339,330,0,"pay_duly","pay_duly","pay_duly","pay_duly","use_revolv_credit","pay_duly"
146,146,50000,"male",NA,"single",28,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","3_month_delay"
147,147,170000,"female","university","single",NA,19269,20313,NA,17560,17918,9100,1661,1200,351,NA,182,0,1,NA,NA,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
148,NA,200000,"male","graduate","single",NA,197236,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,0,"1_month_delay",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
149,149,NA,"female","university","married",23,9168,10522,10205,9898,10123,12034,1650,NA,0,379,2091,1,NA,NA,"2_month_delay","3_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit"
150,150,260000,"female","graduate","married",60,-1100,NA,NA,0,969,869,0,22500,0,969,1000,0,0,"1_month_delay","no_util","pay_duly","pay_duly","pay_duly","pay_duly"
151,151,140000,"male","university","married",32,86627,78142,68336,64648,58319,55251,3455,NA,5000,0,2100,NA,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit",NA,"use_revolv_credit"
152,152,80000,"male","graduate","single",25,42444,55744,43476,NA,41951,31826,30000,3000,6000,8000,2000,14000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
153,153,350000,"male","graduate",NA,NA,208,NA,1000,630,0,0,NA,1000,630,0,0,0,NA,"1_month_delay","pay_duly","pay_duly","pay_duly","pay_duly","no_util"
154,154,280000,"female","university","married",56,208775,182350,132257,101783,177145,169311,8042,6700,5137,NA,7000,6321,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
155,155,NA,NA,"highschool","single",26,NA,10406,NA,11935,13084,NA,1700,1500,1000,1500,1500,1500,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
156,156,140000,"male","graduate","married",34,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
157,157,200000,"female","graduate","single",37,105420,102870,89643,90938,92505,94031,4000,3250,NA,3500,NA,5000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
158,158,NA,"female","highschool","single",30,196031,196143,NA,167163,NA,122324,NA,7108,7680,6200,5000,4500,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
159,159,210000,"male","highschool","married",45,115785,122904,129847,NA,145533,154105,10478,NA,11078,11078,11678,10478,1,"2_month_delay",NA,"4_month_delay","4_month_delay","5_month_delay","6_month_delay"
160,160,50000,"male","highschool","married",57,12854,12362,13447,13427,NA,14083,0,1600,500,500,600,600,0,"3_month_delay","2_month_delay",NA,"use_revolv_credit",NA,"use_revolv_credit"
161,161,30000,"male","graduate",NA,41,24357,27453,26718,28168,27579,28321,3500,0,2200,0,1200,1250,0,"2_month_delay","2_month_delay","2_month_delay",NA,NA,"use_revolv_credit"
162,162,50000,"male","university","single",27,390,390,780,216,1080,540,390,780,216,864,0,390,0,"2_month_delay",NA,"pay_duly","pay_duly",NA,"2_month_delay"
NA,163,290000,"male","highschool","married",47,1234,396,396,NA,396,423,396,396,792,0,423,369,0,"pay_duly","pay_duly",NA,"pay_duly","use_revolv_credit","pay_duly"
164,164,250000,"female",NA,"married",34,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,NA,3920,0,"use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
165,165,60000,"female","university","married",NA,21148,23803,24908,26034,26655,27756,3000,1500,1500,1000,NA,1500,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
166,166,110000,"female","graduate","single",27,101640,104795,104855,74737,76058,77254,5500,3900,3000,2900,3000,2800,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
167,167,370000,"male","graduate","single",50,6093,15130,8204,NA,4792,13453,15383,8204,15413,4792,13453,4699,0,"no_util","no_util","no_util","no_util","no_util","no_util"
168,168,100000,"male","university","married",NA,102349,96847,58824,29336,22979,-246,3166,0,1330,1398,12,50000,0,"pay_duly","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit",NA
169,169,90000,"female","university","married",35,72112,73854,75526,77317,85852,88290,NA,3500,3652,10000,4000,NA,NA,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay"
170,170,NA,"female","university","single",22,28040,NA,NA,27737,28318,28806,1510,1442,982,1017,1277,567,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
171,171,270000,"male","university","single",37,37695,33397,30534,27598,26344,24641,5000,2000,3000,4000,3000,2000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
172,172,300000,"female","graduate","single",30,688,3280,0,4340,2672,800,3288,0,4340,2672,800,NA,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
173,173,50000,"female","university",NA,22,8567,15273,11650,7457,NA,7725,15000,1000,149,0,5000,10000,NA,"pay_duly",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
174,174,50000,"female","graduate","single",24,-709,NA,-709,-2898,-3272,-3272,0,0,NA,0,0,NA,1,NA,"no_util","no_util","no_util","no_util","no_util"
175,175,360000,"male",NA,"single",29,0,0,77,0,0,NA,0,77,0,0,0,0,0,"1_month_delay","no_util","pay_duly","pay_duly","no_util","no_util"
176,176,130000,"male","highschool","married",56,64617,NA,NA,NA,72796,71345,NA,3000,3000,5500,0,0,1,"1_month_delay","2_month_delay","2_month_delay","2_month_delay",NA,"3_month_delay"
177,177,NA,"male","graduate","single",30,6187,100,NA,1438,1919,5380,504,500,1000,500,3500,NA,0,"no_util",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,178,NA,"male","university","single",30,48860,47801,48363,30221,22877,22361,0,1500,1000,2000,0,NA,0,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay"
179,179,20000,"female","university","single",22,16001,12622,13221,13130,14034,NA,1212,1201,500,1500,1500,1000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
180,180,80000,"female","university","married",29,77883,81811,80250,61467,10662,11486,NA,1000,600,400,1000,NA,0,"use_revolv_credit",NA,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
181,181,NA,"male","graduate","single",37,12212,26578,25331,26605,26279,NA,15000,0,2000,0,1256,65935,0,"pay_duly","pay_duly","2_month_delay","use_revolv_credit","use_revolv_credit","pay_duly"
182,182,80000,"female","highschool","single",35,49608,12412,14873,17364,17770,17460,12500,NA,3000,NA,3000,2000,0,"use_revolv_credit","pay_duly","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
183,183,500000,"female","graduate","married",47,56422,110616,110340,NA,108834,70064,70010,30357,30000,20000,52183,20000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
184,184,60000,"female","university","married",24,58024,57891,48839,18971,NA,NA,2500,1600,3000,1000,737,2000,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
185,185,20000,"male","university","single",25,10642,11677,13070,12280,1615,1620,1200,1593,601,135,1824,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly"
186,186,100000,"female",NA,"married",38,14483,13961,NA,16268,15868,16448,0,1600,1500,0,1000,1500,1,"1_month_delay",NA,"use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit"
187,187,360000,"female","graduate","single",32,2616,57077,5287,68445,13881,16240,NA,5295,68454,13889,16250,38313,0,"1_month_delay","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
188,188,200000,"female","highschool","single",47,199436,202947,193936,196186,200162,189915,8214,7000,6800,7134,0,6836,1,"2_month_delay","2_month_delay","2_month_delay",NA,"2_month_delay","2_month_delay"
189,NA,130000,"female","university","married",34,NA,5396,10270,NA,NA,14636,5396,5000,3500,501,1000,2000,0,"1_month_delay","pay_duly",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
190,190,20000,"female","university","single",31,21703,NA,21461,NA,20219,20487,0,1000,NA,0,760,0,0,"1_month_delay","5_month_delay",NA,"4_month_delay","3_month_delay","2_month_delay"
NA,NA,310000,"male","graduate","single",32,59901,62147,62102,65875,60387,NA,10020,6031,10057,NA,NA,4223,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
192,192,60000,NA,"graduate","single",27,NA,20347,NA,23005,22499,22873,1342,1664,2000,0,900,NA,1,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit"
NA,193,180000,"female","graduate","single",29,11386,199,0,NA,17227,17042,199,0,0,17227,341,5114,0,"pay_duly","pay_duly","pay_duly",NA,"pay_duly","use_revolv_credit"
194,194,180000,"female","graduate","single",24,NA,22087,21282,10200,0,0,37867,0,200,0,0,0,0,"pay_duly","pay_duly","2_month_delay","use_revolv_credit","use_revolv_credit","no_util"
195,195,50000,"male","university","married",36,47790,18114,18250,-14,72,658,2000,1000,2000,NA,1000,20011,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly","pay_duly"
NA,196,50000,"female","graduate","single",24,36166,NA,37680,38462,39228,NA,1900,NA,1700,1532,1600,0,1,"1_month_delay","2_month_delay","2_month_delay","2_month_delay",NA,"2_month_delay"
197,197,150000,NA,"university","married",34,0,0,0,116,NA,1500,0,0,116,NA,NA,0,0,"no_util","no_util","no_util","no_util","no_util","no_util"
198,198,20000,"female","graduate","single",22,18553,19446,NA,NA,18868,NA,1500,1032,541,20000,NA,1000,0,NA,"use_revolv_credit",NA,"use_revolv_credit","pay_duly","use_revolv_credit"
199,199,500000,"female","graduate","married",34,412,138,2299,1251,1206,1151,138,2299,1251,1206,1151,15816,0,"no_util","no_util","no_util","pay_duly","pay_duly",NA
200,200,30000,NA,"highschool","single",22,29010,29256,NA,29836,1630,0,1000,85,1714,NA,0,NA,1,"1_month_delay","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit",NA
201,201,180000,"female","graduate","married",38,750,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,"no_util","no_util","no_util","no_util","no_util"
202,202,140000,"male","graduate","single",31,27123,27299,17985,20225,27407,NA,25000,0,3000,7800,0,2500,0,"use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit","use_revolv_credit",NA
203,203,140000,"female","graduate","single",26,13424,18000,13001,5818,13506,487,10000,13001,5841,13506,487,NA,0,"pay_duly","use_revolv_credit","pay_duly","pay_duly",NA,"pay_duly"
204,204,120000,"male","university","single",NA,107314,110578,113736,116000,119131,122135,5000,5000,NA,5000,NA,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
205,205,360000,NA,"university","married",48,226430,231878,234192,190211,173557,146511,9100,7300,5800,5600,5600,4100,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,206,20000,"male","highschool","married",43,227,20351,NA,19339,19450,19337,22359,1305,1258,1459,3457,1700,0,"pay_duly",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,207,100000,"male","graduate","married",47,NA,1473,390,390,390,0,1473,390,390,390,0,2380,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
208,208,210000,"female","university","married",41,3088,1586,NA,3763,877,0,1586,343,3763,877,0,419,1,"pay_duly","pay_duly","pay_duly",NA,"pay_duly","pay_duly"
209,209,80000,"female","university","single",24,81625,NA,79599,49552,49509,49568,3200,3000,2038,2000,1800,1800,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
210,210,330000,"female",NA,"married",50,8872,NA,2854,1690,0,1709,4345,2854,1702,0,1709,258,0,"pay_duly","pay_duly","pay_duly","pay_duly","no_util","no_util"
NA,211,220000,"male","graduate","single",24,105607,108917,111520,8303,0,85632,5000,5050,8303,0,85632,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"pay_duly","pay_duly"
212,212,210000,"female","graduate","married",38,0,0,250,123,789,1222,0,250,0,789,1222,9616,1,"1_month_delay","no_util","pay_duly","use_revolv_credit","pay_duly","pay_duly"
213,NA,40000,"female","highschool","married",43,38257,38901,38103,36207,33138,NA,1700,1504,1200,1500,1500,1000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
214,214,30000,"male","university","single",39,28347,28108,18388,12992,7736,8032,3036,2309,0,NA,2000,148,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit",NA
215,NA,470000,"male","university","single",27,296573,303320,307843,479978,305145,309959,13000,NA,0,10484,10838,10367,NA,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit"
216,216,30000,"male","highschool","married",42,390,NA,390,240,1320,780,390,390,240,1470,0,NA,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","2_month_delay"
217,217,240000,"female","university","married",36,-946,-946,-946,NA,-946,-946,0,0,0,0,0,0,1,"1_month_delay","no_util","no_util",NA,"no_util","no_util"
NA,218,80000,"male","university","single",36,NA,78501,NA,80016,76235,78245,3100,3500,3400,3000,3500,3000,0,"2_month_delay","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
219,219,110000,"female","highschool","other",31,89989,84229,79288,73315,63818,63208,4000,5000,3000,3000,NA,8954,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
220,220,NA,"female","graduate","single",38,NA,4542,126,0,0,0,NA,126,0,0,0,0,0,"pay_duly","pay_duly","pay_duly","pay_duly","no_util","no_util"
221,221,360000,"female","graduate","married",40,105167,115468,NA,114690,117845,120238,12000,0,5900,5000,4500,4700,1,"2_month_delay",NA,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
222,222,330000,"female","highschool","single",45,335196,334954,335527,333860,335760,330121,12388,NA,NA,12450,NA,11678,NA,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
223,NA,300000,"female",NA,"single",35,291619,297268,205629,215827,208464,212508,12019,9006,17000,12000,9557,15000,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
224,224,320000,NA,"university","single",33,91653,94037,108597,65913,43805,33263,10042,18832,NA,2076,5045,3754,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
225,225,50000,"female","highschool","single",37,52626,51537,49205,30394,30249,29957,0,24,1500,1000,1201,30592,1,"1_month_delay","3_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
226,NA,170000,"female","graduate","single",28,130370,NA,128900,125514,127280,128839,6530,NA,NA,4820,4877,4962,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
227,227,350000,"male","highschool","married",44,3265,2686,1864,569,0,0,NA,1864,NA,0,0,0,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","no_util"
228,228,20000,NA,"university","married",NA,16455,16511,18902,18768,18650,19175,1609,NA,663,676,834,782,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
229,NA,50000,"male","university","single",NA,49758,48456,NA,21247,20066,NA,2401,2254,2004,704,707,NA,1,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,NA
NA,230,20000,"female","highschool","single",24,NA,18165,17233,7630,1730,0,0,1333,500,100,0,3200,0,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
231,231,50000,"female","graduate","single",24,35084,35796,30937,19420,10385,1308,2090,2002,1002,238,1011,389,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
232,232,20000,"male","university","single",23,20235,17132,16856,16875,13454,10104,0,1200,1000,0,1000,10000,1,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit"
233,233,50000,"male","university","married",26,NA,0,0,2624,45567,46557,0,0,2624,45567,1747,2000,0,"use_revolv_credit",NA,"no_util","pay_duly","pay_duly","use_revolv_credit"
NA,234,190000,"male","university","single",34,129801,131383,134379,142323,140120,150052,5000,5000,10000,0,12118,NA,1,"2_month_delay","use_revolv_credit",NA,"use_revolv_credit","2_month_delay","2_month_delay"
